handle,views,likes,comments,shares,saves
weebypods,1669,51,0,,
weebypods,18504,412,5,,
weebypods,717428,97747,680,,
weebypods,1981216,100495,554,,
weebypods,5946346,632213,731,,
weebypods,2663,,0,,
weebypods,1972,63,1,,
thieveslosingit,1752,28,0,,
thieveslosingit,1320,4,0,,
thieveslosingit,590,7,0,,
weebypods,26715,1560,7,,
thieveslosingit,1779,3,0,,
weebypods,29987,2977,25,,
weebypods,15738,795,3,,
thieveslosingit,7215,74,0,,
weebypods,48416,2051,8,,
weebypods,11234,636,12,,
thieveslosingit,2344,3,0,,
thatcatsabode,,,2,,
weebypods,,,11,,
thatcatsabode,,,2,,
thieveslosingit,6585,41,1,,
thieveslosingit,9187,32,0,,
thieveslosingit,2881,7,0,,
thieveslosingit,1988,13,3,,
thatcatsabode,,,5,,
thatcatsabode,,,7,,
weebypods,46620,1475,5,,
thieveslosingit,5627,41,1,,
thieveslosingit,6619,51,0,,
thieveslosingit,1124,11,0,,
thatcatsabode,,,8,,
thatcatsabode,,,4,,
thieveslosingit,4304,31,0,,
thieveslosingit,19670,302,9,,
thatcatsabode,,2887,4,,
thatcatsabode,,4142,4,,
thatcatsabode,,34206,32,,
weebypods,16054,955,3,,
thieveslosingit,788,2,0,,
thatcatsabode,,,1,,
thieveslosingit,2202,7,1,,
idiotsdriving,223982,703,63,,
thatcatsabode,,4950,5,,
idiotsdriving,55170,1043,40,,
idiotsdriving,40534,640,5,,
idiotsdriving,68226,857,17,,
thieveslosingit,116240,1756,42,,
idiotsdriving,71218,412,22,,
thatcatsabode,,430563,970,,
weebypods,14345,1259,1,,
thatcatsabode,,4226,1,,
thatcatsabode,,,1,,
thatcatsabode,,32864,103,,
thatcatsabode,,112383,97,,
thatcatsabode,344408,43986,62,,
idiotsdriving,46083,1184,36,,
weebypods,31055,588,17,,
thieveslosingit,1694,5,0,,
thieveslosingit,3111,3,0,,
idiotsdriving,79369,1156,53,,
idiotsdriving,56475,1292,60,,
thatcatsabode,,,6,,
idiotsdriving,55574,1296,34,,
idiotsdriving,115042,2941,36,,
r.a.p,13039,275,3,,
idiotsdriving,84887,1179,73,,
r.a.p,1171,22,0,,
r.a.p,2309,48,0,,
r.a.p,3117,95,1,,
r.a.p,10708,668,7,,
idiotsdriving,793880,1898,165,,
thatcatsabode,,43992,22,,
weebypods,7646,476,4,,
r.a.p,18798,469,3,,
r.a.p,8823,379,0,,
idiotsdriving,48407,1287,62,,
r.a.p,5778,143,3,,
r.a.p,5471,315,7,,
r.a.p,14987,1280,15,,
hiphoptide,3411,,1,,
r.a.p,3245,51,1,,
r.a.p,6431,230,2,,
idiotsdriving,52295,1150,79,,
hiphoptide,11273,82,1,,
hiphoptide,3868,105,0,,
r.a.p,4397,146,2,,
hiphoptide,7147,,4,,
hiphoptide,10824,,0,,
idiotsdriving,143930,688,77,,
idiotsdriving,41780,538,13,,
hiphoptide,17150,,0,,
hiphoptide,5124,86,0,,
hiphoptide,15062,,2,,
hiphoptide,4533,194,2,,
r.a.p,15973,985,7,,
weebypods,3732,118,1,,
r.a.p,14791,269,4,,
hiphoptide,2570,,3,,
hiphoptide,5977,,0,,
hiphoptide,9200,432,0,,
hiphoptide,3180,111,1,,
hiphoptide,5083,,0,,
hiphoptide,8528,,1,,
hiphoptide,7846,,0,,
catsoftys,2473694,278058,182,,
catsoftys,72359021,2258140,3317,,
catsoftys,584595,24801,127,,
r.a.p,12850,472,4,,
catsoftys,,129,0,,
thatcatsabode,,,7,,
catsoftys,3031479,2341,79,,
idiotsdriving,28693,427,7,,
catsoftys,200470,33941,84,,
catsoftys,,4414,7,,
catsoftys,,66,0,,
r.a.p,10383,241,3,,
catsoftys,,143,0,,
catsoftys,15652,2235,6,,
r.a.p,40539,3891,22,,
hiphoptide,5106,,3,,
r.a.p,3842,62,1,,
catsoftys,,1893,3,,
catsoftys,,7144,3,,
catsoftys,,661,1,,
catsoftys,37102261,4534893,5848,,
crimeworld81,16294,72,12,,
crimeworld81,102962,304,0,,
crimeworld81,9300,30,0,,
crimeworld81,12900,85,0,,
crimeworld81,12895,138,3,,
crimeworld81,18053,185,80,,
crimeworld81,19954,109,0,,
crimeworld81,9888,28,0,,
idiotsdriving,33077,566,13,,
idiotsdriving,32632,2522,51,,
catsoftys,,3582,2,,
crimeworld81,30687,103,8,,
crimeworld81,17515,120,3,,
crimeworld81,11280,65,0,,
crimeworld81,11957,68,0,,
r.a.p,,795,15,,
catsoftys,,11896,5,,
crimeworld81,21121,149,4,,
funny.dog.tv,6644,141,25,,
crimeworld81,33095,317,3,,
crimeworld81,,,0,,
hiphoptide,30682,,3,,
funny.dog.tv,5679,279,2,,
funny.dog.tv,4371,276,1,,
crimeworld81,11351,88,0,,
irresistibletexting,8967,90,1,,
irresistibletexting,6203,269,0,,
irresistibletexting,8585,125,0,,
irresistibletexting,7067,356,0,,
irresistibletexting,11367,736,1,,
funny.dog.tv,2636,30,0,,
irresistibletexting,6673,214,1,,
catsoftys,540912,22361,43,,
crimeworld81,,,0,,
funny.dog.tv,5872,366,3,,
funny.dog.tv,5753,256,13,,
irresistibletexting,186646,10434,8,,
irresistibletexting,26594,2560,0,,
irresistibletexting,4824,117,0,,
irresistibletexting,152570,18197,5,,
funny.dog.tv,699416,42694,213,,
idiotsdriving,22806,219,1,,
irresistibletexting,5165,145,0,,
irresistibletexting,7900,89,3,,
funny.dog.tv,2947,107,1,,
catsoftys,,313,0,,
funny.dog.tv,7431,362,12,,
funny.dog.tv,2332,141,1,,
funny.dog.tv,5336,314,1,,
irresistibletexting,7525,63,0,,
funny.dog.tv,3503,159,2,,
funny.dog.tv,2862,154,0,,
irresistibletexting,160737,22219,6,,
irresistibletexting,142497,11131,1,,
funny.dog.tv,3116,128,0,,
funny.dog.tv,3297,161,2,,
irresistibletexting,23067,1606,9,,
weebypods,,,28,,
funny.dog.tv,,74008,463,,
crimeworld81,27085,112,15,,
funny.dog.tv,5030,75,4,,
girlyyglitter,89690,363,0,,
girlyyglitter,2806,48,0,,
irresistibletexting,6431,209,1,,
girlyyglitter,1832,73,0,,
girlyyglitter,1956,56,0,,
crimeworld81,11043,78,9,,
girlyyglitter,6351,234,0,,
girlyyglitter,45433,5177,4,,
girlyyglitter,4731,64,0,,
irresistibletexting,237716,18914,10,,
girlyyglitter,1861,50,0,,
girlyyglitter,6339,402,3,,
hiphoptide,5288,128,3,,
irresistibletexting,6983,121,0,,
girlyyglitter,5606,160,1,,
girlyyglitter,5018,153,0,,
girlyyglitter,2945,63,0,,
girlyyglitter,3561,67,0,,
girlyyglitter,1902,37,0,,
girlyyglitter,2317,67,0,,
girlyyglitter,4643,153,0,,
girlyyglitter,3906,141,0,,
funny.dog.tv,5988,146,2,,
girlyyglitter,2695,66,0,,
irresistibletexting,3876,312,6,,
hiphoptide,1598,75,1,,
catsoftys,14898,1725,1,,
crimeworld81,5781,84,0,,
funny.dog.tv,5460,307,5,,
girlyyglitter,2530,61,1,,
catsoftys,,6984,1,,
girlyyglitter,9197,399,0,,
funny.dog.tv,2434,177,0,,
