username,fullName,niches,hashtags_found,posts,avg_engagement,profile_url,example_post,likely_brand_acct
r.a.swisswatches,✨🏎⌚️🛵✨,watch,watchdealer|watchmarket,39,11,https://www.instagram.com/r.a.swisswatches/,https://www.instagram.com/p/Da-GhTZH8lF/,
nexchrono,Nex Chrono,watch,rolexdealer,21,1,https://www.instagram.com/nexchrono/,https://www.instagram.com/p/Da8LWjqiEY7/,
bandartcg,BANDAR TCG Japan Pokemon Wholesale Supplier,pokemon,pokemoncardshop|pokemoninvestor,18,3,https://www.instagram.com/bandartcg/,https://www.instagram.com/p/Da7ou5rDG7h/,
icyboxapp,ICYBOX,brand,icybox,18,49,https://www.instagram.com/icyboxapp/,https://www.instagram.com/p/Da-vohjljFh/,yes
tcg.boss,TCG.BOSS,pokemon,pokemoncards|pokemoncommunity|pokemontcg,16,10,https://www.instagram.com/tcg.boss/,https://www.instagram.com/p/Da_f01otU5w/,
tradervos,Nick Vo,pokemon,pokemonclaimsale,15,296,https://www.instagram.com/tradervos/,https://www.instagram.com/p/DayXkQeFYI5/,
kcwatchtrading,KC Watch Trading,watch,watchdealer|watchtrading,13,0,https://www.instagram.com/kcwatchtrading/,https://www.instagram.com/p/Da-zEdnEh4u/,
roast,Memes,brand,rainbet,10,320,https://www.instagram.com/roast/,https://www.instagram.com/p/Da6TRN0iMP_/,
ariettacardshop,Jade (Renne),pokemon,pokemoncards|pokemoncardsforsale,10,2,https://www.instagram.com/ariettacardshop/,https://www.instagram.com/p/Da_d-YfGJnS/,
plocced,Memes,brand,rainbet,9,552,https://www.instagram.com/plocced/,https://www.instagram.com/p/Da6Ju4sjNc5/,
2cerai,Cerai,brand,packdraw,9,6,https://www.instagram.com/2cerai/,https://www.instagram.com/p/DZV_HU2CFxk/,
chudwilldoit,Edward Johnson,brand,packdraw|roobet,9,19,https://www.instagram.com/chudwilldoit/,https://www.instagram.com/p/DZVH_pUFPYA/,
young.brando,"Young Brando, Watches 'n Style",watch,luxurywatch|watchesofinstagram|watchfam|wristwatch,9,147,https://www.instagram.com/young.brando/,https://www.instagram.com/p/Da_Qe1SEqdP/,
vault_hero_ltd,Vault Hero,pokemon,pokemondealer,8,2,https://www.instagram.com/vault_hero_ltd/,https://www.instagram.com/p/DXwJL7oDb2f/,
genopalooza_productions,Game On! Bar Games&Trivia,gambling,bigwin,8,1,https://www.instagram.com/genopalooza_productions/,https://www.instagram.com/p/Da_ZbZDDaSP/,
