username,posts_sampled,avg_likes,avg_comments
exitlag,28,5517,78
cardshoplive,2,3270,20
shivaniereddie,27,2130,19
kendramiddleton,1,1053,89
timescope,29,733,16
__pratigya.16,15,687,15
csgoskins_official,26,638,133
weareryno_,25,488,7
csgocasescom,27,332,27
relojesclub_cl,29,304,11
actionnetworkhq,25,297,14
keydropcom_official,25,297,46
breakfast_cards,24,284,4
aubreport,1,266,0
1801mediaco,1,252,3
galeriaperpetua,26,224,7
csgorollofficial,9,182,5
card_cave_vending,1,160,5
realcasinoconnoisseur,29,158,11
1minutewatchguy,1,151,0
thesocoexpo,3,150,1
backrow_co,1,142,48
chromeclublive,30,127,8
vintage_collector_kingsway,28,121,1
mojohobby,1,111,11
dfineunltd,19,85,0
augustsportscards,1,81,15
tavli1968,7,80,6
1of1_snappin,4,79,5
swanandedgar,28,79,2
dadbreaks,25,78,1
timegauge,26,78,4
iconicpullsrd,17,76,99
nordic.watches,25,68,3
thewatchpreserve,27,68,10
theoshaberdash,1,66,1
cardshoplive_sports,15,63,5
tuzexstore,29,61,4
fukagawagou,2,58,5
dropskinofficial,26,58,10
azalinscardkingdom,1,52,3
watchwatches2020,1,49,1
tpdealsofficial,28,49,0
oc.memes.inc,1,46,1
theexcb,26,46,3
themicrocollector,1,43,2
neverbackpown_atris,4,42,5
mangabywill,1,41,0
grandslam_collectibles,26,40,11
ohiothingstodo,1,38,1
1_of_1_card_shop,20,37,2
op_panerai,17,32,1
tet_sasa,17,29,2
statelinebreaks,16,28,2
rubberbandsrotation,18,28,2
rudy._cardshoplive,2,26,1
midwestamyhq,30,26,0
watching_watch_is,25,23,1
nextroundlive,1,23,7
wheretimeisnow,17,22,1
wptglobalie,6,22,2
thewristrational,6,21,4
keshavyadav2512,15,21,1
micaeventosoficial,25,20,2
lakewoodartsfestival,1,19,1
karvaturpattv,18,18,1
joe_cardshoplive,4,18,0
avelloinc,26,18,0
hokej_karty.cz,27,17,0
watchzone.us,28,17,0
bcrawfordcbs,23,16,4
tex_cardshoplive,2,16,0
lineupsportscards,28,16,16
dimkeza,12,16,1
vrsahebdien,3,15,1
iris_zam89,26,15,2
theadventuredial,12,15,1
cr1pt.in,5,14,2
franc38,26,14,1
reyvan.strap,27,14,6
linkswatchcentre,27,14,1
thechronovaultsg,27,14,1
watchradar7,29,14,0
new_england_watches_guitars,24,14,0
queencitywatches,27,13,2
watchesofwimbledon.co.uk,28,13,0
watch_archive_kr,1,13,1
hitsquad_hq,26,12,2
parlaysnparfaits,28,10,1
weirdstagramofficial,18,10,0
gamblingsitefinder,15,9,2
cardtopianz,28,8,3
plurancetechnologies,30,8,0
m9sypher,3,7,0
brandboxmumbai,14,7,0
stylos_urbanos_sd,27,7,0
latitude33watches,6,7,1
sugarcitysportscards,27,7,0
dac.esports.fed,22,7,0
mmcards_official,25,6,0
308breaks,27,6,0
dendannay,16,6,0
o.h.o_watches,23,6,1
biexbeautytrait,30,6,41
internationalpokeropen,18,5,0
dhwc.store,7,5,1
penman.poedgar,25,5,1
marque_dheure,28,5,0
chronomatch_,2,4,1
cs2officallll,2,4,0
sfsafrr2325,1,4,1
rahat_preo,1,4,1
artex_fashion,26,4,0
alwifaqgeneraltradingllc,27,4,0
jbscardco,24,4,0
regentstitch_,29,4,0
slotwinsbychico,19,3,0
crashpredictions,1,3,0
art.vesperia,16,3,0
mrneonbox,18,3,0
timetellers.id,1,3,17
watchtok__,28,3,1
hiphopproductz,27,3,2
american.casino.sweeps,20,3,1
fpr_betting,27,3,0
southsidesuicide59,16,3,0
ticktime_leb,30,3,0
statxbets,15,3,0
csgoroll_moneyprint,1,2,0
elevenroll,2,2,0
gamecoverfr,22,2,0
watchmood2025,27,2,0
ridewithjackbets,10,2,0
wicked_city_timekeeper,8,2,0
crashdodo,12,2,0
insane_cs2_,26,2,0
onlyywatches06,11,2,0
rext2013,28,2,0
openthatcase,7,2,1
curioso_csgo,2,1,0
watchbuyingadvisory,3,1,0
scentory.rd,6,1,0
skinwhales,3,1,0
babuli0001,2,1,0
parlaybreaks,18,1,0
tech.drivenwealth,4,1,2
solayaarchive,3,1,0
myesportsgg,27,1,0
sabihaislam508,18,1,0
riyasat.rahi,21,1,0
kirstiej.rose,19,1,0
tastefullyjocelyn,24,1,0
missdonna_adamssz23562,8,1,0
starloottcg,2,0,0
k_fotodump,18,0,0
thewosoluxury,1,0,0
macius2115321,1,0,0
inter_netmoments,1,0,0
skinsdecsgogratis,12,0,0
reserve.horloger,1,0,0
wrapmadepackaging,26,0,0
charsfavoritethings,28,0,0
maysvilleautorepair,28,0,0
neodelightgames,27,0,0
jackpotbreakers,27,0,0
lvumer.50,2,0,0
reagansclosets,7,0,0
official_timepieces,13,0,0
istissmar,29,0,0
gamblingalerts,28,0,0
truefalsemarket,28,0,0
