username,fullName,brainrot_posts,max_likes_seen,profile_url,needs_profile_enrichment
funny_meme_time13,,12,4,https://www.instagram.com/funny_meme_time13/,yes
zhongli_rex_lapis,Zʜᴏɴɢʟɪ,11,30,https://www.instagram.com/zhongli_rex_lapis/,yes
333raccoonsinatrenchcoat,Remember to drink water :),10,56,https://www.instagram.com/333raccoonsinatrenchcoat/,yes
miwawitafeliz,MIWAWITAFELIZ🇵🇪,10,,https://www.instagram.com/miwawitafeliz/,yes
scrollgenius.app,SCROLLGENIUS,9,,https://www.instagram.com/scrollgenius.app/,yes
nocap,No Cap,7,227,https://www.instagram.com/nocap/,yes
kushagra87021,kushagra Srivastava,5,,https://www.instagram.com/kushagra87021/,yes
girlwithajname,J🩷,4,468,https://www.instagram.com/girlwithajname/,yes
agreement_of_love_,Rodriguez filho,4,7,https://www.instagram.com/agreement_of_love_/,yes
bjoernwrage,Björn Wrage,4,5,https://www.instagram.com/bjoernwrage/,yes
xanguirulo,Xanguirulo,4,,https://www.instagram.com/xanguirulo/,yes
sithalammaa,Sitha Mahalaxmi,4,,https://www.instagram.com/sithalammaa/,yes
yelena.soldier,yelena,3,4033,https://www.instagram.com/yelena.soldier/,yes
daduelking,Pharaoh Of Memes,3,32,https://www.instagram.com/daduelking/,yes
dungeon.meme.master,Wacky Imaginist,3,2,https://www.instagram.com/dungeon.meme.master/,yes
sekkei.japan,𝐒𝐞𝐤𝐤𝐞𝐢 𝐉𝐚𝐩𝐚𝐧,3,1,https://www.instagram.com/sekkei.japan/,yes
andthentheredpilledrose,,3,1,https://www.instagram.com/andthentheredpilledrose/,yes
askchatgpt.daily,,3,1,https://www.instagram.com/askchatgpt.daily/,yes
dankbrief_,DankBrief,3,,https://www.instagram.com/dankbrief_/,yes
kaitlinj16,Kaitlin ♡,3,,https://www.instagram.com/kaitlinj16/,yes
angelsoul.143,Maheen Chaudhary 🎀,3,,https://www.instagram.com/angelsoul.143/,yes
pvz_imp.real,Imp,2,342,https://www.instagram.com/pvz_imp.real/,yes
xitocoock.v3,xitocoock,2,106,https://www.instagram.com/xitocoock.v3/,yes
jaimeribeiro,Jaime Ribeiro,2,105,https://www.instagram.com/jaimeribeiro/,yes
buketozturk.q,Buket Öztürk.,2,84,https://www.instagram.com/buketozturk.q/,yes
thugira__,,2,77,https://www.instagram.com/thugira__/,yes
77.magazine,77,2,59,https://www.instagram.com/77.magazine/,yes
hazyhund,Howl 🌀🌈♾️✨🐺,2,31,https://www.instagram.com/hazyhund/,yes
dogorymozgami,Do Góry Mózgami,2,25,https://www.instagram.com/dogorymozgami/,yes
psychopadhtihoon,Rishita Choudhary | Mumbai | Educational Influencer,2,22,https://www.instagram.com/psychopadhtihoon/,yes
cjpp.rotester,cjpp.rotester,2,20,https://www.instagram.com/cjpp.rotester/,yes
whateverthoughts._,samiaanyway,2,15,https://www.instagram.com/whateverthoughts._/,yes
piludual,Alessandro Piludu,2,14,https://www.instagram.com/piludual/,yes
mrslilley_smithhome,Sam 🌻,2,11,https://www.instagram.com/mrslilley_smithhome/,yes
lzdits234,Lzdits,2,9,https://www.instagram.com/lzdits234/,yes
boora_assiistir_,gabriel,2,7,https://www.instagram.com/boora_assiistir_/,yes
erikalovestofrost,Erika Loves To Frost 🧁,2,7,https://www.instagram.com/erikalovestofrost/,yes
tungtung_lord,all hail lord tung tung 🛐,2,6,https://www.instagram.com/tungtung_lord/,yes
bongiovannistore,Bongiovanni Store,2,5,https://www.instagram.com/bongiovannistore/,yes
jaanu_gift_collection,Jaanu😉,2,4,https://www.instagram.com/jaanu_gift_collection/,yes
offical.tung.tung.tung.sahur,Tung Tung Tung Sahur,2,4,https://www.instagram.com/offical.tung.tung.tung.sahur/,yes
myfavouritesingernatalieshay,NATALIE SHAY 🇬🇧,2,3,https://www.instagram.com/myfavouritesingernatalieshay/,yes
queen__bmusic_,Queen B,2,2,https://www.instagram.com/queen__bmusic_/,yes
sa_inyeccion,𝙎𝘼 𝙈𝙚𝙘𝙖́𝙣𝙞𝙘𝙖,2,1,https://www.instagram.com/sa_inyeccion/,yes
importedhubb,Imported Hub,2,1,https://www.instagram.com/importedhubb/,yes
gamingorder69,Gaming Order,2,1,https://www.instagram.com/gamingorder69/,yes
reyes_del_barrio_barber_shop,Reyes del Barrrio Barber Shop,2,1,https://www.instagram.com/reyes_del_barrio_barber_shop/,yes
ambar.balgit_abdul02,ambar.balgit_abdul29,2,1,https://www.instagram.com/ambar.balgit_abdul02/,yes
mysteryboxoficial,MysteryBox | Pacas de Ropa Americana NL,2,1,https://www.instagram.com/mysteryboxoficial/,yes
weirdhumorr,weird ahh memes,2,1,https://www.instagram.com/weirdhumorr/,yes
internetgrail,grail,2,,https://www.instagram.com/internetgrail/,yes
momazos_merol,merolmomazos🚮⚠️,2,,https://www.instagram.com/momazos_merol/,yes
no_show_shitposting,No Show MN Shitposting,2,,https://www.instagram.com/no_show_shitposting/,yes
rekha1446rani,rekha rani,2,,https://www.instagram.com/rekha1446rani/,yes
chhobir_ganga,রূপম এর - Chhobir Ganga | 🇮🇳✨🧿,2,,https://www.instagram.com/chhobir_ganga/,yes
dragon_animation_theshop,Dragon龍Animation,2,,https://www.instagram.com/dragon_animation_theshop/,yes
__.memer.boy,Memer Boy,2,,https://www.instagram.com/__.memer.boy/,yes
iam_nadeem___,,2,,https://www.instagram.com/iam_nadeem___/,yes
paris_biscuits,,2,,https://www.instagram.com/paris_biscuits/,yes
teabag.cartoon,sabby,1,31963,https://www.instagram.com/teabag.cartoon/,yes
insider,Insider,1,9660,https://www.instagram.com/insider/,yes
