username,platform,engagement_signal,intent_tier,intent_signal,source,competitor_brand,followers
michael_evalorin,Instagram,12,1-High,comment,ig-comment,,
kingg_lowkeyy,Instagram,10,1-High,comment,ig-comment,,
_diddys_wrld,Instagram,10,1-High,comment,ig-comment,,
london.fame,Instagram,7,1-High,comment,ig-comment,,
plombirkaoriginal,TikTok,7,1-High,comment,tiktok-competitor-comments,packdraw,
stocksupxp4l,Instagram,6,1-High,comment,ig-comment,,
rekhirdlwf6,TikTok,6,1-High,comment,tiktok-competitor-comments,icyboxapp,
clippers.hq.team,TikTok,5,1-High,comment,tiktok-competitor-comments,packdraw,
camerondixon100,Instagram,4,1-High,comment,ig-comment,,
metawithnicole,Instagram,4,1-High,comment,ig-comment,,
ollietonkin,TikTok,4,1-High,comment,tiktok-competitor-comments,csgoroll,
d_xxxxxx1,TikTok,4,1-High,comment,tiktok-competitor-comments,courtyard.io,
sminkberoende,Instagram,3,1-High,comment,ig-comment,,
pokemachooch,Instagram,3,1-High,comment,ig-comment,,
jake_spin,Instagram,3,1-High,comment,ig-comment,,
jake_peaden,Instagram,3,1-High,comment,ig-comment,,
tha_tonedude69,Instagram,3,1-High,comment,ig-comment,,
mvsonmargiela,Instagram,3,1-High,comment,ig-comment,,
skinglazers.cs,TikTok,3,1-High,comment,tiktok-competitor-comments,csgoroll,
nathan.robinson97,TikTok,3,1-High,comment,tiktok-competitor-comments,icyboxapp,
bluedominion46,Instagram,2,1-High,comment,ig-comment,,
hazelgrrl,Instagram,2,1-High,comment,ig-comment,,
lupea_13,Instagram,2,1-High,comment,ig-comment,,
midnightstudiola,Instagram,2,1-High,comment,ig-comment,,
paulabena11,Instagram,2,1-High,comment,ig-comment,,
covennightshades,Instagram,2,1-High,comment,ig-comment,,
omar_fox_jack,Instagram,2,1-High,comment,ig-comment,,
ghoulishdelights,Instagram,2,1-High,comment,ig-comment,,
toshiraaa,Instagram,2,1-High,comment,ig-comment,,
diamondprincess714,Instagram,2,1-High,comment,ig-comment,,
tayler__herman,Instagram,2,1-High,comment,ig-comment,,
dilenn,Instagram,2,1-High,comment,ig-comment,,
thetropigothess,Instagram,2,1-High,comment,ig-comment,,
jrboii_420,Instagram,2,1-High,comment,ig-comment,,
defjammediaa,Instagram,2,1-High,comment,ig-comment,,
george_sanders56,Instagram,2,1-High,comment,ig-comment,,
