username,platform,comments_on_competitors,posts_engaged,source,profile
michael_evalorin,Instagram,12,2,ig-competitor-comments,https://www.instagram.com/michael_evalorin/
kingg_lowkeyy,Instagram,10,7,ig-competitor-comments,https://www.instagram.com/kingg_lowkeyy/
_diddys_wrld,Instagram,10,10,ig-competitor-comments,https://www.instagram.com/_diddys_wrld/
london.fame,Instagram,7,7,ig-competitor-comments,https://www.instagram.com/london.fame/
stocksupxp4l,Instagram,6,6,ig-competitor-comments,https://www.instagram.com/stocksupxp4l/
camerondixon100,Instagram,4,4,ig-competitor-comments,https://www.instagram.com/camerondixon100/
metawithnicole,Instagram,4,1,ig-competitor-comments,https://www.instagram.com/metawithnicole/
sminkberoende,Instagram,3,3,ig-competitor-comments,https://www.instagram.com/sminkberoende/
pokemachooch,Instagram,3,1,ig-competitor-comments,https://www.instagram.com/pokemachooch/
jake_spin,Instagram,3,3,ig-competitor-comments,https://www.instagram.com/jake_spin/
jake_peaden,Instagram,3,3,ig-competitor-comments,https://www.instagram.com/jake_peaden/
tha_tonedude69,Instagram,3,3,ig-competitor-comments,https://www.instagram.com/tha_tonedude69/
mvsonmargiela,Instagram,3,1,ig-competitor-comments,https://www.instagram.com/mvsonmargiela/
bluedominion46,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/bluedominion46/
hazelgrrl,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/hazelgrrl/
lupea_13,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/lupea_13/
midnightstudiola,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/midnightstudiola/
paulabena11,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/paulabena11/
covennightshades,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/covennightshades/
omar_fox_jack,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/omar_fox_jack/
ghoulishdelights,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/ghoulishdelights/
toshiraaa,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/toshiraaa/
diamondprincess714,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/diamondprincess714/
tayler__herman,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/tayler__herman/
dilenn,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/dilenn/
thetropigothess,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/thetropigothess/
jrboii_420,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/jrboii_420/
defjammediaa,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/defjammediaa/
george_sanders56,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/george_sanders56/
01__manvendra_singh,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/01__manvendra_singh/
farmaslots,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/farmaslots/
rowth_aboat,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/rowth_aboat/
cazador.sarzier,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/cazador.sarzier/
cartierisok,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/cartierisok/
spin.heist,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/spin.heist/
yermandadon,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/yermandadon/
druby41,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/druby41/
imalinaaa__,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/imalinaaa__/
lelasescapades,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/lelasescapades/
nicolespodcastus,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/nicolespodcastus/
petrolhead.102,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/petrolhead.102/
gael_lemarchan,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/gael_lemarchan/
halilibrahimsacar,Instagram,2,2,ig-competitor-comments,https://www.instagram.com/halilibrahimsacar/
el_miguel555,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/el_miguel555/
pix.0f.lyfe,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/pix.0f.lyfe/
joacquimendoza,Instagram,2,1,ig-competitor-comments,https://www.instagram.com/joacquimendoza/
onepiecetcgde,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/onepiecetcgde/
thefoundoriginal,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/thefoundoriginal/
_anna_thomas_05,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/_anna_thomas_05/
bigboy13337,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/bigboy13337/
illsun_comics,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/illsun_comics/
h0_ye0n_,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/h0_ye0n_/
sujichoii,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/sujichoii/
mmmina815,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mmmina815/
mana_nsmt,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/mana_nsmt/
jwongboutique,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jwongboutique/
__edwinloves.cro,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/__edwinloves.cro/
katrinaspdl,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/katrinaspdl/
clockingoutpodcast,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/clockingoutpodcast/
jay_anthony93,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/jay_anthony93/
titan_tcg26,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/titan_tcg26/
puja09802,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/puja09802/
syrusluvher,Instagram,1,1,ig-competitor-comments,https://www.instagram.com/syrusluvher/
