rank,lead_score,segment,username,platform,followers,brands,source,email,profile,bio
1,96.5,🤝 Competitor Affiliate,surelynotsierra,X,179683,packdraw,x-mention,,https://x.com/surelynotsierra,@sierragambles // shuffle partner :p
2,96.5,🤝 Competitor Affiliate,RawDogg209,X,79286,packdraw,x-mention,,https://x.com/RawDogg209,"Streaming - https://t.co/4W3SLJwe5e $45,000 in monthly leaderboards - https://t.co/5x3Lf4VfKA Giveaways - https://t.co/rJ2QMxrifd"
3,96.5,🤝 Competitor Affiliate,KuangTV,X,48939,packdraw,x-mention,,https://x.com/KuangTV,Owner of @Rollwardcom | Partners: @Duelbits @Packdraw @cryptocom | Code: Kuang
4,96.5,🤝 Competitor Affiliate,ifwraviel,X,37236,packdraw,x-mention,,https://x.com/ifwraviel,casinos nightmare | @fortunejackcom   https://t.co/GihnZhFdCE  USE CODE “rav1el” ON FORTUNEJACK.
5,96.5,🤝 Competitor Affiliate,ScrapyCoCoTV,X,21549,packdraw,x-mention,,https://x.com/ScrapyCoCoTV,🔥 A DELUSIONAL BELIEVER 🔥 🔥 A AFFIRMATION BELIEVER 🔥 🚀 Hosting Crypto•CS2•Casino Giveaways🔥 💌DM for inquiries  🤝@SGG_hq Content Creator #scr
6,96.5,🤝 Competitor Affiliate,tweetthis101,X,16326,packdraw,x-mention,,https://x.com/tweetthis101,Promo account/Giveaway host/Turn your notifs on/DM if you're looking to gain more followers for your business or personal accounts $GustavoM
7,96.5,🤝 Competitor Affiliate,PT003__,X,12137,packdraw,x-mention,,https://x.com/PT003__,AI visuals for Web3 • Trader • Degen • High-conviction bets • Memes • Promo • News-style content | Onchain builder | Retail | BagWorker | Ed
8,96.5,🤝 Competitor Affiliate,EClock24,X,10971,packdraw,x-mention,,https://x.com/EClock24,Ambassador @tryquantio  |   @Autheo_Network    | Previously  @zama    | DM for paid promo/Collab.
9,96.5,🤝 Competitor Affiliate,chigawrld,X,8813,packdraw,x-mention,,https://x.com/chigawrld,onchain gambler ☘︎ dm for promos • thoughts from a balcony
10,96.5,🤝 Competitor Affiliate,KweenABC123,X,5875,packdraw,x-mention,,https://x.com/KweenABC123,✨ Crypto ✨ social media 🦋  promoter || shiller ⚡ paypal to gcash h✨ CRYPTO to GCASH📝  PROOFS #KweenTrades. Giveback proofs #RcelsShares.
11,96.5,🤝 Competitor Affiliate,FEYOWEB,X,5811,packdraw,x-mention,,https://x.com/FEYOWEB,"Crypto Enthusiast: content creator: exchanges/wallet promotion update, sports update/analyst ."
