rank,author,views,likes,comments,shares,saves,eng_rate,duration_s,is_ad,slideshow,created,caption,hashtags,url
1,csgoroll,1300000,110100,644,35500,7003,11.25,11,False,False,2026-07-09,Wtf is this new update bro 😭 #cs2 #csgo #counterstrike,,https://www.tiktok.com/@csgoroll/video/7660615323552386326
2,csgoroll,1300000,92000,181,40600,5607,10.21,7,False,False,2026-06-28,P 9am vs 9pm,,https://www.tiktok.com/@csgoroll/video/7652696456486325526
3,courtyard.io,817100,49800,369,5194,4206,6.78,44,False,False,2026-05-06,We got the US Marshalls auctioning off $72k watches in the big 2026 😭😭,,https://www.tiktok.com/@courtyard.io/video/7636886360879533342
4,csgoroll,609000,69500,57,16400,4097,14.11,8,False,False,2026-06-29,P awper dies,,https://www.tiktok.com/@csgoroll/video/7652696452845620502
5,courtyard.io,190500,4714,76,224,289,2.63,7,False,False,2026-02-19,This has to be the best feeling ever >>>>,,https://www.tiktok.com/@courtyard.io/video/7608672240812559629
6,courtyard.io,174600,9403,25,515,306,5.69,43,False,False,2026-02-18,"Proof Myles Garrett is built different. Even on media row, he’s ripping Pokémon packs like a pro 🔥🎴@DraftKings Network",,https://www.tiktok.com/@courtyard.io/video/7608311193165466910
7,packdraw,142100,1117,27,59,203,0.85,20,False,False,2023-11-14,... when your friend joins! #packdraw #louievuitton #benny_live11,packdraw|louievuitton|benny_live11,https://www.tiktok.com/@packdraw/video/7301140392160939307
8,packdraw,141800,490,14,7,37,0.36,45,True,False,2025-07-26,New Items Added Daily,,https://www.tiktok.com/@packdraw/video/7531401386819472695
9,csgoroll,112300,4278,11,4385,328,7.72,12,False,False,2026-07-21,The kinda teammates I get on my rankup game... #csgo #cs2 #counterstrike_fyp,counterstrike_fyp,https://www.tiktok.com/@csgoroll/video/7665126761847426326
10,packdraw,72200,418,8,14,31,0.61,42,False,False,2023-11-06,Finally he did it! #packdraw #fendi #fyp #benny_live11,packdraw|fendi|fyp|benny_live11,https://www.tiktok.com/@packdraw/video/7298411403927588142
11,packdraw,64900,486,11,21,48,0.8,29,False,False,2023-11-09,is that a... gold? #packdraw #razer #fyp #hyuslive,packdraw|razer|fyp|hyuslive,https://www.tiktok.com/@packdraw/video/7299287290906529067
12,packdraw,53400,401,8,24,32,0.81,62,False,False,2023-10-12,Nooo don't do this dont do this.. Benny is on the edge! #packdraw #kickstreaming #gamingpc #nike #airforce1 #holloween #benny_live11,packdraw|kickstreaming|gamingpc|nike|airforce1|holloween|benny_live11,https://www.tiktok.com/@packdraw/video/7289182173981101355
13,packdraw,49800,251,4,12,21,0.54,17,False,False,2023-11-06,...is that... double golds?? #packdraw #jordan1retro #fyp #jordan4retro #hyuslive,packdraw|jordan1retro|fyp|jordan4retro|hyuslive,https://www.tiktok.com/@packdraw/video/7298199808140086574
14,packdraw,47300,702,5,18,54,1.53,25,False,False,2023-11-03,what a nice Cuban Chain! #packdraw #cubanchain #fyp #agassi,packdraw|cubanchain|fyp|agassi,https://www.tiktok.com/@packdraw/video/7297346578954734894
15,packdraw,40400,279,5,7,47,0.72,26,False,False,2023-10-17,Mascoobs thinks our withdraw speed is 🔥 #PackDraw #crypto #cryptocurrency  #mascoobs,packdraw|crypto|cryptocurrency|mascoobs,https://www.tiktok.com/@packdraw/video/7290946448819031338
16,packdraw,38700,201,15,8,12,0.58,33,False,False,2023-11-02,...that battle paaid!! #packdraw #jordan1retro #swatchxomega #benny_live11,packdraw|jordan1retro|swatchxomega|benny_live11,https://www.tiktok.com/@packdraw/video/7296880595441896746
17,csgoroll,38100,678,13,46,62,1.93,20,False,False,2026-06-24,P cs2 vs csgo knife animation,,https://www.tiktok.com/@csgoroll/video/7652696451415395606
18,packdraw,37800,167,3,20,15,0.5,20,False,False,2023-10-11,What's gold in the G-Crazy pack?! GGE finds out! #packdraw #kickstreaming #gshock #casio #GGE,packdraw|kickstreaming|gshock|casio|gge,https://www.tiktok.com/@packdraw/video/7288487450891111722
19,packdraw,35700,135,1,5,15,0.39,27,False,False,2023-10-31,Schnecky's first gold and its a... #packdraw #macbookpro #apple #schnecky,packdraw|macbookpro|apple|schnecky,https://www.tiktok.com/@packdraw/video/7296270552275291438
20,packdraw,26000,121,0,16,11,0.53,25,False,False,2023-10-25,Benny.. I told you baby! #packdraw #dior #diorwings #benny_live11,packdraw|dior|diorwings|benny_live11,https://www.tiktok.com/@packdraw/video/7293946856814415147
21,packdraw,24000,112,2,4,12,0.49,33,False,False,2023-10-24,GGE Shameless double gold pull! #packdraw #murakami #mrdob #GGE,packdraw|murakami|mrdob|gge,https://www.tiktok.com/@packdraw/video/7293567009160383790
22,csgoroll,22300,288,21,62,24,1.66,10,False,False,2026-06-25,P raze in cs2,,https://www.tiktok.com/@csgoroll/video/7652696453038542082
23,csgoroll,18400,1911,19,639,181,13.96,12,False,False,2026-07-18,Send this to a fellow Negev chad #csgo #cs2 #counterstrike,,https://www.tiktok.com/@csgoroll/video/7663901727543905558
24,packdraw,18300,83,3,4,5,0.49,62,False,False,2023-10-11,Benny's getting scared..! #packdraw #fendi #heartrate #benny_live11,packdraw|fendi|heartrate|benny_live11,https://www.tiktok.com/@packdraw/video/7288844565170162986
25,packdraw,18200,216,2,5,23,1.23,46,False,False,2023-10-21,"Daytona Panda $41,800 Watch unpacking!! #packdraw #daytona #daytonapanda #lucky",packdraw|daytona|daytonapanda|lucky,https://www.tiktok.com/@packdraw/video/7292557970381131054
