name,handle,brainrot_score,data_confidence,max_plays,total_plays,viral_vids,best_likes,promotes,best_caption,post_url,source
Tbeats,,88.7,high (real IG plays),37104,44240,3,109,packdraw,Some crazy pulls from $13 cases on @packdraw   Live everyday 10amCET 6pmSYD 8pmN,https://www.instagram.com/p/Da5PAisNmfp/,ig-tagged-viral
Delshon Stanley,,80,high (real IG plays),198284,274088,2,-1,packdraw,Let me please😫 @packdraw,https://www.instagram.com/p/Da_HZqdP5iw/,ig-tagged-viral
KAMEA,,68.8,high (real IG plays),30416,30416,1,1109,packdraw,@packdraw always keeps me busy😫,https://www.instagram.com/p/DbBraLYv8nR/,ig-tagged-viral
The Icy Watch Guy,,68.4,high (real IG plays),2184,6775,5,21,,Guessing your politics based on your watch!   #watches #watchessentials #watch #,https://www.instagram.com/p/Da7GRxdq4vr/,ig-tagged-viral
Kinsey,,65.0,high (real IG plays),80230,80230,1,450,icyboxapp,He made the right choice  Download @icyboxapp for free on the App Store,https://www.instagram.com/p/DbGhlLqy2r2/,ig-tagged-viral
Mark Miskell,,64,high (real IG plays),659822,659822,1,43245,,i was just assaulted 😫✌️ • • • • • #ragebait #meta #pov #funny #reels,https://www.instagram.com/p/DbFtY9ePpeL/,ig-tagged-viral
Ted Park,,62.5,high (real IG plays),7025,7025,1,99,icyboxapp,Bro really learned how to maxx on @icyboxapp and ran off on me.. down a watch an,https://www.instagram.com/p/Da3hUeixZgp/,ig-tagged-viral
Nicole Simeone,,62,high (real IG plays),967270,1778338,2,44753,,One moment… ordinary. The next… the keys to your dream summer villa. ☀️🌊🌴,https://www.instagram.com/p/DbHI5oviGeo/,ig-tagged-viral
J R The AR,,61.3,high (real IG plays),8552,11751,2,96,icyboxapp,My boy @glizzytarentino just came home to a brand new way to pull watches 💎 I ha,https://www.instagram.com/p/DbB-J6Nh1Zf/,ig-tagged-viral
MAPS,,58.9,high (real IG plays),19296,19296,1,1264,hypedrop,#MAPS出動🇯🇵 韓国の人気ブランド「THUG CLUB」が日本初となるオフィシャルストアを9/21(土)新宿にオープン✨  HYPE DROP新宿にて完全招,https://www.instagram.com/p/DAKcRq_y1px/,ig-tagged-viral
Kizzle,,55.9,high (real IG plays),9873,9873,1,66,icyboxapp,"😅👌 aye @icyboxapp if you see me using the app a few times a month , mind your bu",https://www.instagram.com/p/DbHafSbPz9M/,ig-tagged-viral
Scott Librando | Private Jeweler,,55.9,high (real IG plays),9668,9668,1,108,icyboxapp,Trying out new Goalie Box on @icyboxapp 💎  Got cooked but use “SCOTT20” for free,https://www.instagram.com/p/Da54ZrfpeOl/,ig-tagged-viral
Coby Persin,,55.7,high (real IG plays),5953,11723,3,27,,BlackTip Shark🦈,https://www.instagram.com/p/DaswO54sNPZ/,ig-tagged-viral
