name,vertical,primary_platform,profiles,followers,tier,website,email,brands_or_notes,crossover_flag,break_fit,crossover,reachability,confidence,source
UnlistedLeaf,pokemon-collectible,YouTube,YouTube https://youtube.com/@UnlistedLeaf ; IG @unlistedleaf,~2.7M YT / 110k IG,macro,,,Pokemon TCG breaker/opener,collectible+break-mechanic,5,4,2,med,feedspot/socialveins/press
Deep Pocket Monster,pokemon-collectible,YouTube,YouTube (@DeepPocketMonster) ; IG @deeppocketmonsterofficial,~1.6M,macro,,,Pokemon TCG opener/collector,collectible,5,4,2,med,feedspot/socialveins/press
RealBreakingNate,pokemon-collectible,YouTube,YouTube (@RealBreakingNate),macro ESTIMATE,macro,,,Pokemon TCG BREAKER (pack battles),collectible+break-mechanic,5,4,2,med,feedspot/socialveins/press
Leonhart,pokemon-collectible,YouTube,YouTube (@Leonhart),macro ESTIMATE,macro,,,Pokemon TCG opener/hype,collectible,5,4,2,med,feedspot/socialveins/press
PokeRev,pokemon-collectible,YouTube,YouTube (@PokeRev),macro ESTIMATE,macro,,,Pokemon TCG opener/breaker,collectible+break-mechanic,5,4,2,med,feedspot/socialveins/press
Randolph (Randolph Pokemon),pokemon-collectible,YouTube,YouTube (@Randolph),mid-macro,macro,,,Pokemon TCG opener/collector,collectible,5,4,2,med,feedspot/socialveins/press
rogerrips,pokemon-collectible,IG,IG https://instagram.com/rogerrips,~73.1k IG,micro,,,Pokemon TCG BREAKER/rips,collectible+break-mechanic,5,4,2,med,feedspot/socialveins/press
austinjohnplays,pokemon-collectible,IG,IG https://instagram.com/austinjohnplays,~64.2k IG,micro,,,Pokemon TCG Pokemon gaming+cards,collectible,4,3,2,med,feedspot/socialveins/press
pm7_john,pokemon-collectible,IG,IG https://instagram.com/pm7_john,~43.8k IG,micro,,,Pokemon TCG collector,collectible,4,3,2,med,feedspot/socialveins/press
mister_fuji_,pokemon-collectible,IG,IG https://instagram.com/mister_fuji_,~22.1k IG,micro,,,Pokemon TCG collector,collectible,4,3,2,med,feedspot/socialveins/press
crezzelia,pokemon-collectible,IG,IG @crezzelia ; TikTok @crezzelia,~16.6k IG / 15k TT,micro,,,Pokemon TCG collector,collectible,4,3,2,med,feedspot/socialveins/press
tani.chuu,pokemon-collectible,IG,IG https://instagram.com/tani.chuu,~13.5k IG,micro,,,Pokemon TCG collector,collectible,4,3,2,med,feedspot/socialveins/press
Gio The Pokemon Puller,pokemon-collectible,IG,IG (Gio),~11k IG,micro,,,Pokemon TCG puller/opener,collectible,5,4,2,med,feedspot/socialveins/press
Pokezenn,pokemon-collectible,TikTok,TikTok https://tiktok.com/@pokezenn,~278k TT,mid,,,Pokemon TCG family-friendly cards,collectible,4,3,2,med,feedspot/socialveins/press
Officiallywhelmed,pokemon-collectible,TikTok,TikTok @officiallywhelmed,~98k TT,micro,,,Pokemon TCG cards+games,collectible,4,3,2,med,feedspot/socialveins/press
PokiChloe,pokemon-collectible,YouTube,YouTube (@PokiChloe),mid ESTIMATE,mid,,,Pokemon TCG opener/collector,collectible,5,4,2,med,feedspot/socialveins/press
DarkGhoul,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Luxury Ball Collectibles,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
The Pokemon Evolutionaries,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Ptcgradio,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Danny Phantump,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
TwicebakedJake,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Tricky Gym,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
LittleDarkFury,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
AzulGG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
ZapdosTCG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
SneakerTalk TCG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
ForTheWinTCG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Don Diego Trading,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
TrustYourPilot Pokemon,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
OmniPoke,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Celio's Network,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
TheDexLogs,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
DK Cards,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
PokeCuz TCG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
tablemon,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
The Shuffle Squad,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
LDF PTCG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
BurtsPTCG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Paraspectre,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Popsicle Knight,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Rahul Reddy,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
SmartTCG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
FlexDaddy,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Bewear The TERRIBLE,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Jay's Corner TCG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
TripleBtcg,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
10types,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Jank Play TCG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
DarkIntegralGaming,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Rare Candy,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Balthazar Pkmns,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Ruby Retro,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
The Sableyes,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Chari Card,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Ninecard TCG,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
Mellow Magikarp,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
TCG Park,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
PokeGuardian,pokemon-collectible,YouTube,YouTube (verify handle),N/A (verify),unknown,,,Pokemon TCG creator (Feedspot must-follow list),collectible,4,3,2,low,feedspot 60 list
