rank_in_platform,creator,platform_url,follower_count,count_basis,tier,brands_promoted,referral_code,business_contact,primary_format,confidence,notes
1,lito_gmbl,https://www.tiktok.com/@lito_gmbl,~163.3k TikTok ESTIMATE (~2023),observed,mid,"HypeDrop, Stake",HypeDrop deposit code (+Stake tip),none,Short-form TikTok battles,med,Strong short-form/TikTok fit.
2,TylerPlaysLive,https://www.tiktok.com/@tylerplaylive,N/A,tier-estimate (unverified),micro-mid,PackDraw,Tylerplayslive / TYLR,none (BlissBox LLC FB page),Short-form + live + giveaways,low-med,TikTok handle spelled @tylerplaylive; others tylerplayslive.
3,mysterypacks.de,https://www.tiktok.com/@mysterypacks.de,52.1k TikTok (2026-07-18),observed,micro,MysteryPacks (sports-jersey packs),N/A,none,Mystery-pack unboxing (seller acct),med,"NEW. Seller/brand-ish account, not a pure influencer."
4,golddigger_5,https://www.tiktok.com/@golddigger_5,N/A,tier-estimate (unverified),nano-micro,HypeDrop,GOLDDIGGER,none,Short-form unboxing,low,
5,hypedropcrazybattles,https://www.tiktok.com/@hypedropcrazybattles,N/A,tier-estimate (unverified),nano-micro,HypeDrop,TIKTOK100,none,Short-form battle clips,low-med,
6,Sebknowsbest,https://www.tiktok.com/@sebknowsbest,N/A,tier-estimate (unverified),nano-micro,HypeDrop,Sebknowsbest,none,Short-form win clips,low,
7,tshockz22,https://www.tiktok.com/@tshockz22,N/A,tier-estimate (unverified),nano-micro,PackDraw,Kaslik,none,Short-form case-opening / promo shoutout,high,NEW. Clearest new micro TikTok fit; code Kaslik -> PackDraw.
8,csgo.gambling,https://www.tiktok.com/@csgo.gambling,N/A,tier-estimate (unverified),unknown,"CSGORoll, HypeDrop",none seen,none,Short-form case-opening clips,low-med,NEW. Topical account.
9,dizzydankss (DizzyDanks24),https://www.tiktok.com/@dizzydankss,N/A,tier-estimate (unverified),unknown,HypeDrop,Dizzy,none,Short-form unboxing,med,NEW.
10,hypedropbalotelli,https://www.tiktok.com/@hypedropbalotelli,N/A,tier-estimate (unverified),unknown,HypeDrop,BALOTELLI,none,Short-form unboxing / promo,low-med,NEW.
11,kelvinmboik,https://www.tiktok.com/@kelvinmboik,N/A,tier-estimate (unverified),unknown,SkinClub,none identified,none,Short-form case-opening / promo clips,med,NEW. Only verifiable SkinClub TikTok creator handle.
12,pizza_god1 (Kody Garrett),https://www.tiktok.com/@pizza_god1,N/A,tier-estimate (unverified),unknown,HypeDrop,KODYG,none,Short-form unboxing,low-med,NEW.
13,quickhypedrop,https://www.tiktok.com/@quickhypedrop,N/A,tier-estimate (unverified),unknown,HypeDrop,none confirmed,none,Short-form mystery-box unboxing,med,NEW.
14,rillabox.openings,https://www.tiktok.com/@rillabox.openings,N/A,tier-estimate (unverified),unknown,RillaBox,none seen,none,Short-form unboxing,low-med,NEW. Topical account.
