rank_in_platform,creator,platform_url,follower_count,count_basis,tier,brands_promoted,referral_code,business_contact,primary_format,confidence,notes
1,Orangie,https://x.com/orangie,N/A (crowded namespace),tier-estimate (unverified),mid-macro,PackDraw (flagship code),ORANGIE,none,Live pack-openings + 'world record' VODs,low-med,Flagship PackDraw code (high conf); profile-to-human mapping only medium; tier may exceed 1M - verify.
2,WatchGamesTV,https://twitter.com/watchgamestv,~535-559k SUBS ESTIMATE (2026),observed,mid-macro,HypeDrop (branded case),WatchGamesTV,linktr.ee/watchgamestv,Dedicated video + branded case,med,Branded HypeDrop creator-case; Linktree contact hub. ~530k = within 1M.
3,JuicyCSGO,https://x.com/juicycsg,~529k SUBS ESTIMATE (2026),observed,macro,HypeDrop (branded 'Juicy' case),Juicy (string unconfirmed),none,Dedicated video + branded case,med,~529k = within 1M.
4,lito_gmbl,https://twitter.com/lito_gmbl,~163.3k TikTok ESTIMATE (~2023),observed,mid,"HypeDrop, Stake",HypeDrop deposit code (+Stake tip),none,Short-form TikTok battles,med,Strong short-form/TikTok fit.
5,Aiden Gambles,https://x.com/aiden_gambles,N/A,tier-estimate (unverified),micro-mid,CSGORoll (branded case),own case (code not isolated),none (Discord community),Cross-site openings,med,
6,Sloth (SlothCSGO),https://x.com/slothhcsgo,N/A,tier-estimate (unverified),micro-mid,CSGORoll,SLOTH,none (slothrewards.com hub),Long-form 'all-in' sessions,med,
7,TylerPlaysLive,https://x.com/tylerplayslive,N/A,tier-estimate (unverified),micro-mid,PackDraw,Tylerplayslive / TYLR,none (BlissBox LLC FB page),Short-form + live + giveaways,low-med,TikTok handle spelled @tylerplaylive; others tylerplayslive.
8,Jules (Julsy),https://x.com/JulsyCS,N/A,tier-estimate (unverified),micro,CSGORoll (branded case),JULES,none,Long-form + live Kick,med,
9,Rydurz,https://x.com/rydurz,Kick ~24.2k (Sept-2025 snippet),observed,micro,PackDraw (+Roobet),rydurz,none (coderydurz.com hub),Livestream + X sponsorship/giveaway,med,
10,OneEyedGregg,https://x.com/oneeyedgregg,Kick ~14.9k (snippet),observed,micro,"PackDraw, Roobet",OEG,none (oeg.gg hub),Nightly livestreams + clips,med,
11,CrimsonYT,https://x.com/CrimsonYT101,~5k YT SUBS (SERP),observed,nano-micro,RillaBox,CrimsonYT,none,Full-length 'try the site' unboxing,med,Strongest verified RillaBox creator; X handle @CrimsonYT101.
12,OnlyCrunchy,https://x.com/onlycrunchy,N/A,tier-estimate (unverified),unknown,"PackDraw, Roobet",CRUNCHY (tentative),none,X posts + ETH giveaways,low,
