rank_in_platform,creator,platform_url,follower_count,count_basis,tier,brands_promoted,referral_code,business_contact,primary_format,confidence,notes
1,Xposed,https://www.youtube.com/channel/UC0U5sBczEr2ASp4T6hSLvag,N/A (macro reputation),tier-estimate (unverified),macro,PackDraw (branded 'Xposed case'),branded case (code unseen),none,Livestream + dedicated video,med,Large gambling streamer; tier may exceed 1M - verify.
2,Orangie,https://www.youtube.com/watch?v=o2pvnwCtc0U,N/A (crowded namespace),tier-estimate (unverified),mid-macro,PackDraw (flagship code),ORANGIE,none,Live pack-openings + 'world record' VODs,low-med,Flagship PackDraw code (high conf); profile-to-human mapping only medium; tier may exceed 1M - verify.
3,WatchGamesTV,https://www.youtube.com/@watchgamestv,~535-559k SUBS ESTIMATE (2026),observed,mid-macro,HypeDrop (branded case),WatchGamesTV,linktr.ee/watchgamestv,Dedicated video + branded case,med,Branded HypeDrop creator-case; Linktree contact hub. ~530k = within 1M.
4,JuicyCSGO,https://www.youtube.com/channel/UC_i5slkwxbZKPeh9x2QWkSw,~529k SUBS ESTIMATE (2026),observed,macro,HypeDrop (branded 'Juicy' case),Juicy (string unconfirmed),none,Dedicated video + branded case,med,~529k = within 1M.
5,ProdigyDDK,https://www.youtube.com/@prodigyddk,~251-270k SUBS ESTIMATE (2026),observed,mid,HypeDrop (branded case),hypedrop.com/r/<code> (unconfirmed),none (site prodigyddk.com),Long-form + Shorts; sub-spend stunts,med,
6,Aiden Gambles,https://www.youtube.com/@AidenGambles,N/A,tier-estimate (unverified),micro-mid,CSGORoll (branded case),own case (code not isolated),none (Discord community),Cross-site openings,med,
7,Bouchonnoir,https://www.youtube.com/@Bouchonnoir,N/A,tier-estimate (unverified),micro-mid,"CSGORoll, SkinClub",BOUCHON,none (bouchonnoir.gg hub),Long-form openings / battles (FR),med,Runs own leaderboard infra.
8,GW1917,https://www.youtube.com/@GW1917gaming,N/A,tier-estimate (unverified),micro-mid,"PackDraw, Hypedrop, EmpireDrop",PackDraw code (string unseen),none (gw1917gaming.com),Dedicated big-deposit videos,med,
9,Sloth (SlothCSGO),https://www.youtube.com/@SlothCSGO,N/A,tier-estimate (unverified),micro-mid,CSGORoll,SLOTH,none (slothrewards.com hub),Long-form 'all-in' sessions,med,
10,TylerPlaysLive,https://www.youtube.com/@tylerplayslive26,N/A,tier-estimate (unverified),micro-mid,PackDraw,Tylerplayslive / TYLR,none (BlissBox LLC FB page),Short-form + live + giveaways,low-med,TikTok handle spelled @tylerplaylive; others tylerplayslive.
11,Svensk Drama,https://www.youtube.com/@SvenskDrama,"~67.8k SUBS (2026-06-24, single-source)",observed,micro,CSGORoll,SvenskDrama,none,Tournaments / openings (SE),med,Only creator with a (single-source) count.
12,Jules (Julsy),https://www.youtube.com/channel/UCrUFQtoCMdDZ06whZQodFuA,N/A,tier-estimate (unverified),micro,CSGORoll (branded case),JULES,none,Long-form + live Kick,med,
13,OneEyedGregg,https://www.youtube.com/@Oneeyedgregg,Kick ~14.9k (snippet),observed,micro,"PackDraw, Roobet",OEG,none (oeg.gg hub),Nightly livestreams + clips,med,
14,ChrisG,https://www.youtube.com/watch?v=MD6zLZVgLeY,N/A,tier-estimate (unverified),nano-micro,DaddySkins,CHRISG,tiltedtwinz@pm.me (public email),Dedicated promo video,low,ONLY creator with a public business email.
15,CrimsonYT,https://www.youtube.com/channel/UCI2grI-9aZh9kyuPxWAFvxg,~5k YT SUBS (SERP),observed,nano-micro,RillaBox,CrimsonYT,none,Full-length 'try the site' unboxing,med,Strongest verified RillaBox creator; X handle @CrimsonYT101.
