type,platform,handle(s),note
brand-official,TikTok,@icybox,IcyBox brand acct (code ICYTED)
brand-official,TikTok,@packdrawofficial,PackDraw brand acct
brand-official,TikTok,@csgoroll,CSGORoll brand acct
brand-official,TikTok,@skin.club.cs2,SkinClub brand acct
brand-official,YouTube,@ICYBOX_OFFICIAL,IcyBox brand channel
brand-official,Instagram,@packdraw (~101k),PackDraw brand acct
brand-official,Instagram,@icyboxapp,IcyBox brand acct
brand-official,Instagram,@csgorollofficial (16k),CSGORoll brand acct
brand-official,Instagram,@hypedropcom (~74-81k),HypeDrop brand acct
brand-official,Instagram,@skinclub_csgo (27k),SkinClub brand acct
brand-official,Instagram,"@rillaboxofficial (5,834)",RillaBox brand acct
brand-official,Instagram,@cases_gg (103) / @cases_dotgg,Cases.GG brand accts
off-brand-official,Instagram,@csgo.net_official / @csgocasescom / @csgoskins_official (232k) / @jemlitofficial / @skinplaceoff / @easyskinscom / @ggcasecom,other case-site brand accts (not target brands)
spam-farm,TikTok,@promocode_skinclub / @lenafktxoiv / @markmartinez300 / @vernoafj9e3 / @kennehhdebt,"SkinClub promo-code spam farm (throwaway handles, identical rotating-code shorts, likely bot)"
affiliate-reposter,Instagram,@skinclubcs2 / @csgoskinsallcodes (FOOXKJ) / @csgorollbonus (WINTERLEICHE) / @ggcasesempaja,"affiliate/code-reposter pages, not genuine creators"
affiliate-SEO,X,@Code_Hypedrop (HELLA/HYPEHELLA),"promo-code posting acct, not an original creator"
