creator,tier_confidence,platform,profile_url,follower_count,audience_tier,range_flag,brands_promoted,referral_code,business_contact,primary_format,confidence,notes
Brady (BRADYFREEFIVE),2-code-confirmed,TBD,,N/A,unknown,in,PackDraw,BRADYFREEFIVE ($5 free),none,promo-code shoutout,low-med,Real PackDraw creator code from #packdraw results; resolve handle+counts
TPT code owner,2-code-confirmed,TBD,,N/A,unknown,in,PackDraw,TPT (5% deposit),none,promo-code shoutout,low,Real PackDraw code; owning creator handle unconfirmed
@vault_clipz,3-niche-relevant,TikTok,https://www.tiktok.com/@vault_clipz,N/A,unknown,in,PackDraw (clips),none,none,Kick-clip reposts (Yassuo/PackDraw pulls),low,Real topical clips account amplifying PackDraw pulls; not an original promoter
@brandyrosetv (Brandy Rose),3-niche-relevant,TikTok,https://www.tiktok.com/@brandyrosetv,N/A,unknown,in,#mysterypack collectibles (ADJACENT),none,none,Mystery-pack unboxing,low,"ADJACENT sub-niche (collectible/Pokemon packs), not PackDraw/IcyBox-style"
@suprisetoytok,3-niche-relevant,TikTok,https://www.tiktok.com/@suprisetoytok,N/A,unknown,in,#mysterypack toys (ADJACENT),none,none,Mystery-pack/toy unboxing,low,ADJACENT sub-niche
@sam_bett,3-niche-relevant,TikTok,https://www.tiktok.com/@sam_bett,N/A,unknown,in,#mysterypack collectibles (ADJACENT),none,none,Mystery-pack unboxing,low,ADJACENT sub-niche
@asmr.daniii96,3-niche-relevant,TikTok,https://www.tiktok.com/@asmr.daniii96,N/A,unknown,in,#mysterypack collectibles (ADJACENT),none,none,ASMR mystery-pack unboxing,low,ADJACENT sub-niche
@hookedonminis,3-niche-relevant,TikTok,https://www.tiktok.com/@hookedonminis,N/A,unknown,in,#mysterypack minis (ADJACENT),none,none,Mystery-pack/minis unboxing,low,ADJACENT sub-niche
@chazgotthepops (Chaz Herrera),3-niche-relevant,TikTok,https://www.tiktok.com/@chazgotthepops,N/A,unknown,in,#mysterypack Funko/pops (ADJACENT),none,none,Mystery-pack unboxing,low,ADJACENT sub-niche
@starrfamily_minis,3-niche-relevant,TikTok,https://www.tiktok.com/@starrfamily_minis,N/A,unknown,in,#mysterypack minis (ADJACENT),none,none,Mystery-pack/minis unboxing,low,ADJACENT sub-niche
@reviewmethis_ (Landen),3-niche-relevant,TikTok,https://www.tiktok.com/@reviewmethis_,N/A,unknown,in,#mysterypack collectibles (ADJACENT),none,none,Mystery-pack unboxing/review,low,ADJACENT sub-niche
@johnpaul78228 (John-Paul),3-niche-relevant,TikTok,https://www.tiktok.com/@johnpaul78228,N/A,unknown,in,#mysterypack collectibles (ADJACENT),none,none,Mystery-pack unboxing,low,ADJACENT sub-niche
@sobrianjohnson (Brian Johnson),3-niche-relevant,TikTok,https://www.tiktok.com/@sobrianjohnson,N/A,unknown,in,#mysterypack collectibles (ADJACENT),none,none,Mystery-pack unboxing,low,ADJACENT sub-niche
Yassuo (Moe),ref-above-1M,Kick/YouTube,https://kick.com/yassuo,macro (~2M+),macro,above,PackDraw (featured/partner),none,none,Kick livestream PackDraw pulls (featured on @packdrawofficial),med,Real PackDraw-featured streamer; ABOVE the <=1M focus
