rank,creator,primary_platform,all_platforms,follower_count,count_basis,tier,brands_promoted,referral_code,business_contact,primary_format,confidence,range_flag,notes
1,Xposed,Kick,Kick https://kick.com/xposed ; YouTube https://www.youtube.com/channel/UC0U5sBczEr2ASp4T6hSLvag,N/A (macro reputation),tier-estimate (unverified),macro,PackDraw (branded 'Xposed case'),branded case (code unseen),none,Livestream + dedicated video,med,uncertain,Large gambling streamer; tier may exceed 1M - verify.
2,Orangie,Twitch,Twitch https://www.twitch.tv/orangieyt ; Kick https://kick.com/orangie ; X https://x.com/orangie ; YouTube https://www.youtube.com/watch?v=o2pvnwCtc0U,N/A (crowded namespace),tier-estimate (unverified),mid-macro,PackDraw (flagship code),ORANGIE,none,Live pack-openings + 'world record' VODs,low-med,uncertain,Flagship PackDraw code (high conf); profile-to-human mapping only medium; tier may exceed 1M - verify.
3,WatchGamesTV,YouTube,YouTube https://www.youtube.com/@watchgamestv ; X https://twitter.com/watchgamestv,~535-559k SUBS ESTIMATE (2026),observed,mid-macro,HypeDrop (branded case),WatchGamesTV,linktr.ee/watchgamestv,Dedicated video + branded case,med,in,Branded HypeDrop creator-case; Linktree contact hub. ~530k = within 1M.
4,JuicyCSGO,YouTube,YouTube https://www.youtube.com/channel/UC_i5slkwxbZKPeh9x2QWkSw ; X https://x.com/juicycsg,~529k SUBS ESTIMATE (2026),observed,macro,HypeDrop (branded 'Juicy' case),Juicy (string unconfirmed),none,Dedicated video + branded case,med,in,~529k = within 1M.
5,ProdigyDDK,YouTube,YouTube https://www.youtube.com/@prodigyddk ; Instagram https://www.instagram.com/prodigy.ddk/ ; Twitch https://twitch.tv/prodigyddk,~251-270k SUBS ESTIMATE (2026),observed,mid,HypeDrop (branded case),hypedrop.com/r/<code> (unconfirmed),none (site prodigyddk.com),Long-form + Shorts; sub-spend stunts,med,in,
6,lito_gmbl,TikTok,TikTok https://www.tiktok.com/@lito_gmbl ; X https://twitter.com/lito_gmbl,~163.3k TikTok ESTIMATE (~2023),observed,mid,"HypeDrop, Stake",HypeDrop deposit code (+Stake tip),none,Short-form TikTok battles,med,in,Strong short-form/TikTok fit.
7,Aiden Gambles,YouTube,YouTube https://www.youtube.com/@AidenGambles ; X https://x.com/aiden_gambles,N/A,tier-estimate (unverified),micro-mid,CSGORoll (branded case),own case (code not isolated),none (Discord community),Cross-site openings,med,in,
8,Bouchonnoir,YouTube,YouTube https://www.youtube.com/@Bouchonnoir,N/A,tier-estimate (unverified),micro-mid,"CSGORoll, SkinClub",BOUCHON,none (bouchonnoir.gg hub),Long-form openings / battles (FR),med,in,Runs own leaderboard infra.
9,GW1917,YouTube,YouTube https://www.youtube.com/@GW1917gaming,N/A,tier-estimate (unverified),micro-mid,"PackDraw, Hypedrop, EmpireDrop",PackDraw code (string unseen),none (gw1917gaming.com),Dedicated big-deposit videos,med,in,
10,Sloth (SlothCSGO),YouTube,YouTube https://www.youtube.com/@SlothCSGO ; X https://x.com/slothhcsgo,N/A,tier-estimate (unverified),micro-mid,CSGORoll,SLOTH,none (slothrewards.com hub),Long-form 'all-in' sessions,med,in,
11,TylerPlaysLive,YouTube,YouTube https://www.youtube.com/@tylerplayslive26 ; TikTok https://www.tiktok.com/@tylerplaylive ; X https://x.com/tylerplayslive ; Kick https://kick.com/tylerplayslive,N/A,tier-estimate (unverified),micro-mid,PackDraw,Tylerplayslive / TYLR,none (BlissBox LLC FB page),Short-form + live + giveaways,low-med,in,TikTok handle spelled @tylerplaylive; others tylerplayslive.
12,mysterymilo007,Instagram,Instagram https://www.instagram.com/mysterymilo007/,73k IG (2026-07-18 snippet),observed,micro,RillaBox,none seen,"none (also Snap @mysterymilo, TikTok)",Reels IRL unboxing,high,in,NEW. Genuine individual unboxing creator ('Mystery Box GOAT').
13,Svensk Drama,YouTube,YouTube https://www.youtube.com/@SvenskDrama,"~67.8k SUBS (2026-06-24, single-source)",observed,micro,CSGORoll,SvenskDrama,none,Tournaments / openings (SE),med,in,Only creator with a (single-source) count.
14,mysterypacks.de,TikTok,TikTok https://www.tiktok.com/@mysterypacks.de,52.1k TikTok (2026-07-18),observed,micro,MysteryPacks (sports-jersey packs),N/A,none,Mystery-pack unboxing (seller acct),med,in,"NEW. Seller/brand-ish account, not a pure influencer."
15,Jules (Julsy),YouTube,YouTube https://www.youtube.com/channel/UCrUFQtoCMdDZ06whZQodFuA ; X https://x.com/JulsyCS ; Kick https://kick.com/JULSY,N/A,tier-estimate (unverified),micro,CSGORoll (branded case),JULES,none,Long-form + live Kick,med,in,
16,RobZn,Kick,Kick https://kick.com/robznnncs,N/A,tier-estimate (unverified),micro,CSGORoll,personal code unconfirmed,none,Live Kick streams,low-med,in,
17,Rydurz,Kick,Kick https://kick.com/rydurz ; X https://x.com/rydurz,Kick ~24.2k (Sept-2025 snippet),observed,micro,PackDraw (+Roobet),rydurz,none (coderydurz.com hub),Livestream + X sponsorship/giveaway,med,in,
18,lacedupny (Laced Up Worldwide),Instagram,Instagram https://www.instagram.com/lacedupny/,~20k IG ESTIMATE (pikdo mirror 2026-07-18),observed,micro,Sneaker IRL mystery boxes (ADJACENT),none seen,retail store (multi-location),Reels IRL unboxing,low-med,in,"NEW. ADJACENT niche (sneaker mystery boxes, own product)."
19,OneEyedGregg,Kick,Kick https://kick.com/oneeyedgregg ; YouTube https://www.youtube.com/@Oneeyedgregg ; Twitch https://www.twitch.tv/oneeyedgregg ; X https://x.com/oneeyedgregg,Kick ~14.9k (snippet),observed,micro,"PackDraw, Roobet",OEG,none (oeg.gg hub),Nightly livestreams + clips,med,in,
20,ChrisG,YouTube,YouTube https://www.youtube.com/watch?v=MD6zLZVgLeY,N/A,tier-estimate (unverified),nano-micro,DaddySkins,CHRISG,tiltedtwinz@pm.me (public email),Dedicated promo video,low,in,ONLY creator with a public business email.
21,emilyyyrosess,Instagram,Instagram https://www.instagram.com/emilyyyrosess/,N/A,tier-estimate (unverified),nano-micro,IRL Disney pin mystery packs (ADJACENT),none seen,none,Reels IRL unboxing,med,in,NEW. ADJACENT niche.
22,golddigger_5,TikTok,TikTok https://www.tiktok.com/@golddigger_5,N/A,tier-estimate (unverified),nano-micro,HypeDrop,GOLDDIGGER,none,Short-form unboxing,low,in,
23,hypedropcrazybattles,TikTok,TikTok https://www.tiktok.com/@hypedropcrazybattles,N/A,tier-estimate (unverified),nano-micro,HypeDrop,TIKTOK100,none,Short-form battle clips,low-med,in,
24,Sebknowsbest,TikTok,TikTok https://www.tiktok.com/@sebknowsbest,N/A,tier-estimate (unverified),nano-micro,HypeDrop,Sebknowsbest,none,Short-form win clips,low,in,
25,tshockz22,TikTok,TikTok https://www.tiktok.com/@tshockz22,N/A,tier-estimate (unverified),nano-micro,PackDraw,Kaslik,none,Short-form case-opening / promo shoutout,high,in,NEW. Clearest new micro TikTok fit; code Kaslik -> PackDraw.
26,CrimsonYT,YouTube,YouTube https://www.youtube.com/channel/UCI2grI-9aZh9kyuPxWAFvxg ; X https://x.com/CrimsonYT101,~5k YT SUBS (SERP),observed,nano-micro,RillaBox,CrimsonYT,none,Full-length 'try the site' unboxing,med,in,Strongest verified RillaBox creator; X handle @CrimsonYT101.
27,unboxdisneypinco,Instagram,Instagram https://www.instagram.com/unboxdisneypinco/,"2,751 IG (2026-07-18)",observed,nano,IRL Disney pin packs (ADJACENT),none seen,none,Reels IRL unboxing (on hiatus),med,in,NEW. ADJACENT niche.
28,csgo.gambling,TikTok,TikTok https://www.tiktok.com/@csgo.gambling,N/A,tier-estimate (unverified),unknown,"CSGORoll, HypeDrop",none seen,none,Short-form case-opening clips,low-med,in,NEW. Topical account.
