brand,code_or_name,status,note
IcyBox,ICYTED,creator 'Ted'? (unconfirmed handle),brand code $5 off
IcyBox,KHE54S,IG repost pull code; original poster unknown,
PackDraw,DEVN,Devon Gard (YouTube + LinkedIn only; no verified TikTok/X),
PackDraw,FAST25,YouTube Short promo; channel unresolved,
PackDraw,crispy15 / MYSTIC10 / TPT / coindev(coindevclips),"referenced, handle unconfirmed",
Clash.gg,MISACSGO / VAXEN,creator-tied codes; profile unresolved,
Key-Drop,BETIX / ANONYT,creator-tied codes; profile unresolved,
SkinClub,Helou,SkinClub custom-case creator; profile unconfirmed,
SkinClub,MACE2CSTT / SUKUNATT / VECHMANTT / SANTICS / MAGIC200,streamer codes; handles unconfirmed,
SkinClub,megalodon888,$240k case-opening event streamer (community.skin.club news); no verified profile,
Cases.gg,PEST / KUJTAA / CSGOBETTINGS / HUNTR / ADVENTURE,aggregator/affiliate codes; no named creator,
SkinClub,~15 YouTube case-opening videos,real promo videos; owning channels unresolved (see report appendix),
Sneaker IRL (adjacent),@yankeekicks / @harrisonevel,named in snippet; IG profile/code unconfirmed,
